datetime,no2-A,no2-W,o3-A,o3-W,co-A,co-W,temperature,pressure,humidity,pt,nc,epa-o3,epa-no2,co,epa-temperature,epa-humidity
2017-09-12 09:53:00-07:00,295.98715769999995,310.16259040000006,407.71556739999994,417.5221167000001,375.49270900000005,294.1089754,34.699999999999996,996.8599999999999,41.973000000000006,333.86331329999996,84.21819509999999,0.044000000000000004,0.008,354.6,83.5,56.0
2017-09-12 09:54:00-07:00,297.171569,309.7594530999999,411.58756059999996,416.93459889999997,381.71789910000007,302.48423099999997,34.699999999999996,996.8799999999999,42.010000000000005,333.8945643,81.4618609,0.046,0.008,344.1,83.0,56.0
2017-09-12 09:55:00-07:00,297.62470790000003,309.3969419,411.66256300000003,416.6627155,376.41148719999995,298.59036219999996,34.69,996.8499999999998,42.332,333.8633133,79.8993134,0.046,0.008,352.6,82.2,57.0
2017-09-12 09:56:00-07:00,296.4652974,309.0188056,411.0562944,416.6970915,374.7208105,299.5841425,34.6,996.8699999999999,42.547,333.86643849999996,78.42739350000001,0.046,0.008,355.7,81.6,59.0
2017-09-12 09:57:00-07:00,296.4996734,308.98755459999995,410.78128610000005,416.40020749999996,372.9488817,298.7403668,34.66,996.8899999999998,42.505,333.8758137,78.10863359999999,0.045,0.008,359.0,82.4,58.0
2017-09-12 09:58:00-07:00,296.8278085,308.9344277,413.0938567,415.9470687,373.6707785,299.0591267,34.75000000000001,996.89,42.456999999999994,333.89143930000006,78.0711325,0.046,0.008,355.3,83.7,56.0
2017-09-12 09:59:00-07:00,296.74968120000005,309.5594471,412.46571270000004,415.7533127,370.1862972,295.8121526,34.849999999999994,996.8199999999999,42.581,333.9664416,77.60549340000001,0.046,0.008,345.9,85.5,53.0
2017-09-12 10:00:00-07:00,296.24029060000004,309.725077,411.08129529999997,415.59080780000005,371.0113223,294.3183568,34.93,996.9199999999998,42.354,334.01331810000005,78.052382,0.048,0.008,357.7,84.5,53.0
2017-09-12 10:01:00-07:00,296.5621752999999,309.3000641,410.7344097,415.428303,377.33339029999996,297.0809412,35.0,996.8699999999999,41.97800000000001,334.0258185,77.6836207,0.049,0.008,354.1,83.6,55.0
2017-09-12 10:02:00-07:00,296.68405399999995,309.18443549999995,411.8969450000001,415.1157932,374.1020417,297.2684469,35.010000000000005,996.8799999999999,39.974000000000004,334.0851954,77.4867397,0.048,0.009000000000000001,351.6,84.5,54.0
2017-09-12 10:03:00-07:00,296.7528062,309.8344553,413.9970090999999,415.6001832,363.78922700000004,289.5619617,35.190000000000005,996.8299999999999,41.126,334.18832370000007,78.9899105,0.049,0.009000000000000001,347.6,84.8,53.0
2017-09-12 10:04:00-07:00,295.81527760000006,310.4313486,411.4406810999999,415.1720453,366.7986938,289.05569620000006,35.32,996.76,41.336,334.28832689999996,77.5867428,0.05,0.009000000000000001,368.4,83.8,55.0
2017-09-12 10:05:00-07:00,297.6122074000001,309.7375775,413.7532516000001,415.34392519999994,376.15522939999994,295.97465739999996,35.39999999999999,996.8599999999999,41.129000000000005,334.3102026,77.31485940000002,0.05,0.009000000000000001,325.4,84.5,53.0
2017-09-12 10:06:00-07:00,297.23094580000003,309.4844446999999,413.1501083,415.59080789999996,371.7144689,293.3339519,35.44,996.7899999999997,41.29600000000001,334.36957950000004,76.3898313,0.05,0.008,310.5,84.0,55.0
2017-09-12 10:07:00-07:00,297.56533090000005,308.42503739999995,414.67515489999994,415.1720451,376.64274409999996,297.7934628,35.36,996.7999999999998,41.507999999999996,334.37582969999994,75.58668159999999,0.049,0.006999999999999999,318.0,85.2,53.0
2017-09-12 10:08:00-07:00,296.8215581,309.48131959999995,414.5189001,415.4814295,369.7769098,292.48080070000003,35.38999999999999,996.7899999999997,41.73100000000001,334.43208129999994,76.3273293,0.05,0.006999999999999999,355.2,84.1,54.0
2017-09-12 10:09:00-07:00,297.5247047,309.103183,414.28139280000005,414.6126529,379.9553453,295.21213420000004,35.41,996.78,41.575,334.4977078,76.0054443,0.051,0.006999999999999999,335.1,83.8,55.0
2017-09-12 10:10:00-07:00,296.69967940000004,309.27506329999994,413.66574899999995,414.8939116,372.4957428,293.3714531,35.43,996.8,41.41000000000001,334.5352088,75.79606300000002,0.052000000000000005,0.006999999999999999,329.3,84.5,54.0
2017-09-12 10:11:00-07:00,296.6309274,308.7375469,414.55327619999997,414.77828299999993,373.2207648,296.93093659999994,35.5,996.79,41.17,334.55395939999994,76.52108510000001,0.053,0.006999999999999999,348.9,85.0,53.0
2017-09-12 10:12:00-07:00,296.5934263,308.806299,414.30639360000004,414.6564042,370.2144229,293.76834019999995,35.52,996.75,41.120000000000005,334.5539594,75.74918679999999,0.053,0.006999999999999999,304.7,85.9,51.0
2017-09-12 10:13:00-07:00,296.54342489999993,309.1781855,415.0626666,414.3876462,370.2362988,294.3683582,35.529999999999994,996.79,40.97299999999999,334.5602096,75.5148045,0.053,0.006,351.4,86.0,51.0
2017-09-12 10:14:00-07:00,296.66217850000004,308.7500472,414.8345349,414.0970123,369.7331585,293.47458109999997,35.60000000000001,996.7999999999998,41.122,334.5883355,75.97106840000001,0.054000000000000006,0.006,287.6,84.9,52.0
2017-09-12 10:15:00-07:00,296.7090548,309.1844356,416.2408276,414.5032746,365.5549059,289.2369518,35.69,996.75,40.972,334.6914638,75.7085604,0.054000000000000006,0.006,316.8,85.1,52.0
2017-09-12 10:16:00-07:00,296.3309183,308.7344218,414.7814082,414.2095158,373.195764,294.34335770000007,35.699999999999996,996.72,40.58399999999999,334.6883387,75.22729569999998,0.054000000000000006,0.006,308.3,86.0,51.0
2017-09-12 10:17:00-07:00,296.4465467,308.7750479,413.03135480000003,414.07513660000006,372.6457473,293.90896949999996,35.790000000000006,996.7400000000001,40.263,334.7164646,74.87728510000001,0.055,0.006,312.0,85.3,51.0
2017-09-12 10:18:00-07:00,296.5277991,308.2125309,415.05641640000005,413.9282572,367.95497900000004,296.0559099,35.739999999999995,996.7299999999998,40.16600000000001,334.6539626,74.24914099999998,0.055,0.006,319.6,85.2,52.0
