datetime,no2-A,no2-W,o3-A,o3-W,co-A,co-W,temperature,pressure,humidity,pt,nc,epa-o3,epa-no2,co,epa-temperature,epa-humidity
2017-09-12 09:53:00-07:00,294.4371105,257.167223,417.53461699999997,433.76011249999993,406.74991289999997,281.5992189,32.849999999999994,996.8499999999998,50.111000000000004,331.89450329999994,242.8324104,0.044000000000000004,0.008,354.6,83.5,56.0
2017-09-12 09:54:00-07:00,294.69024329999996,258.23913089999996,417.32836069999996,433.7226111,400.39971920000005,281.32421039999997,33.07,996.8899999999998,49.283,332.11951050000005,242.8105347,0.046,0.008,344.1,83.0,56.0
2017-09-12 09:55:00-07:00,294.60899069999994,258.24538090000004,417.3002349,433.8788661,400.0934598,283.41802419999993,33.28,996.8499999999998,48.882,332.31951680000003,242.79490920000003,0.046,0.008,352.6,82.2,57.0
2017-09-12 09:56:00-07:00,293.1308207000001,258.2047547,417.0127262,434.0944974,398.9996765,284.2993011,33.47,996.8999999999999,48.346,332.52577260000004,242.81053469999998,0.046,0.008,355.7,81.6,59.0
2017-09-12 09:57:00-07:00,293.04956819999995,259.09540699999997,415.93144329999996,434.13824890000006,399.249684,285.1587022,33.64999999999999,996.86,47.788,332.70077810000004,242.8167849,0.045,0.008,359.0,82.4,58.0
2017-09-12 09:58:00-07:00,293.26832479999996,258.4953887,415.84706559999995,433.8788659,398.7215429,287.1243874,33.809999999999995,996.8199999999997,47.408,332.8632833,242.8167849,0.046,0.008,355.3,83.7,56.0
2017-09-12 09:59:00-07:00,293.96834609999996,258.0328745,416.4314585,433.9757439,396.4558488,287.27126680000003,33.96,996.85,47.342,333.0351638000001,242.81365979999995,0.046,0.008,345.9,85.5,53.0
2017-09-12 10:00:00-07:00,292.79956060000006,257.323478,416.08144789999994,433.9726189,397.95901990000004,288.5650564,34.11999999999999,996.8199999999999,46.970000000000006,333.23516929999994,242.80115939999996,0.048,0.008,357.7,84.5,53.0
2017-09-12 10:01:00-07:00,292.9714409,259.37041530000005,415.1782951,434.0538713000001,399.36218769999994,288.886941,34.260000000000005,996.85,46.32800000000001,333.39142419999996,242.7699084,0.049,0.008,354.1,83.6,55.0
2017-09-12 10:02:00-07:00,292.3495469,259.8641804,413.9001313,433.2475967999999,395.60582289999996,289.1619494,34.39,996.8099999999998,45.813,333.5351788,242.81991,0.048,0.009000000000000001,351.6,84.5,54.0
2017-09-12 10:03:00-07:00,293.1901974,260.50795009999996,414.7720327999999,433.81323889999993,392.88073970000005,290.065102,34.52,996.7699999999999,45.695,333.70393419999994,242.78240899999997,0.049,0.009000000000000001,347.6,84.8,53.0
2017-09-12 10:04:00-07:00,292.88393799999994,259.6704246,414.53452550000003,433.3757256,390.6119204,289.8432204,34.64999999999999,996.8,45.571999999999996,333.8633134,242.78553389999996,0.05,0.009000000000000001,368.4,83.8,55.0
2017-09-12 10:05:00-07:00,292.6370556,259.7641774,414.77828289999997,433.7226111,393.0588702,289.3869563,34.78000000000001,996.7999999999998,45.092,334.0070679,242.79490919999998,0.05,0.009000000000000001,325.4,84.5,53.0
2017-09-12 10:06:00-07:00,291.893283,260.3673208,415.45642879999997,433.60073250000005,395.10580760000005,291.7745291,34.9,996.79,45.03600000000001,334.1226966,242.71990720000002,0.05,0.008,310.5,84.0,55.0
2017-09-12 10:07:00-07:00,292.14954059999997,260.1016877999999,414.79078360000005,433.43510249999997,395.96208369999994,292.87143790000005,35.03000000000001,996.74,44.751999999999995,334.2258249,242.76678339999998,0.049,0.006999999999999999,318.0,85.2,53.0
2017-09-12 10:08:00-07:00,293.6589618,260.5016998,415.67518540000003,433.3132236,396.64960479999996,292.0401623000001,35.14,996.8100000000001,44.798,334.3789547999999,242.7167821,0.05,0.006999999999999999,355.2,84.1,54.0
2017-09-12 10:09:00-07:00,292.8120609,259.9391827,414.5876523,433.40697659999995,400.45597110000006,291.993286,35.24,996.8100000000001,44.400999999999996,334.46645709999996,242.71678189999997,0.051,0.006999999999999999,335.1,83.8,55.0
2017-09-12 10:10:00-07:00,292.66518130000003,262.0079958,414.07201139999995,433.3319743,392.54010439999996,290.5932434,35.349999999999994,996.78,44.14300000000001,334.6102112,242.6855311,0.052000000000000005,0.006999999999999999,329.3,84.5,54.0
2017-09-12 10:11:00-07:00,291.74015310000004,261.1548449,413.6782494,433.39135100000004,392.1744683,292.61517990000004,35.44,996.7699999999999,43.697,334.6883387,242.72928229999997,0.053,0.006999999999999999,348.9,85.0,53.0
2017-09-12 10:12:00-07:00,292.0589128,262.2798791,414.9126622,433.1257181,391.03693350000003,292.1370402,35.53000000000001,996.8000000000002,43.48100000000001,334.79146699999995,242.64490499999997,0.053,0.006999999999999999,304.7,85.9,51.0
2017-09-12 10:13:00-07:00,291.3307658,262.1173744,413.0907314,432.8413345,389.2306283,291.83078090000004,35.61,996.8399999999999,43.157,334.88834510000004,242.7167821,0.053,0.006,351.4,86.0,51.0
2017-09-12 10:14:00-07:00,292.70268250000004,263.4924162,413.4594927,432.9382122,389.9400251,291.7401533,35.72,996.7299999999999,43.18,334.99459850000005,242.68240609999998,0.054000000000000006,0.006,287.6,84.9,52.0
2017-09-12 10:15:00-07:00,291.8526567,262.4673849,415.17204499999997,433.05071560000005,388.16497079999994,291.5057712,35.81,996.79,43.044,335.0852264,242.65115530000003,0.054000000000000006,0.006,316.8,85.1,52.0
