datetime,no2-A,no2-W,o3-A,o3-W,co-A,co-W,temperature,pressure,humidity,pt,nc,epa-no2,epa-o3
2017-09-13 11:30:00-07:00,286.3524888,296.97156299999995,416.58771340000004,413.8688802,297.2590716,290.18385579999995,38.5,996.5600000000001,27.022000000000002,339.1478504,74.4272716,0.0021000000000000003,0.0468
2017-09-13 11:31:00-07:00,285.7014271666667,296.0507013333334,418.533606,413.3199051666666,292.29537866666664,288.57130649999993,38.56666666666666,996.6,26.974999999999998,339.208268,74.491857,0.0021000000000000003,0.0471
2017-09-13 11:32:00-07:00,287.99003860000005,297.18406960000004,424.38795120000003,413.6563736,293.23394859999996,289.8025942,38.660000000000004,996.6,27.179999999999996,339.3166048,74.502274,0.002,0.0478
2017-09-13 11:33:00-07:00,287.5035656666667,296.6392608333333,420.0128176666667,413.5074108333333,293.1235288333333,286.2535275,38.800000000000004,996.5500000000001,27.25333333333333,339.416608,74.53873333333333,0.002,0.048
2017-09-13 11:34:00-07:00,287.4150214,296.45279700000003,419.20654320000006,413.13135760000006,299.09662779999996,285.4899624,38.9,996.5,27.238,339.49786059999997,74.5272748,0.0017,0.0474
2017-09-13 11:35:00-07:00,286.3264463333333,296.5298828333333,421.63786733333336,413.6376233333333,302.56131683333336,286.07123,39.0,996.5,27.058333333333334,339.593697,74.59081783333333,0.0017,0.047
2017-09-13 11:36:00-07:00,286.74625080000004,296.709055,419.8753136,412.87509980000004,306.3655996,288.621308,39.1,996.4799999999999,26.8,339.7166176,74.652278,0.0017,0.0474
2017-09-13 11:37:00-07:00,286.02435383333335,296.65488666666664,420.3461613333334,413.01781266666666,295.43609933333335,289.5036268333334,39.1,996.5166666666668,26.63166666666667,339.770786,74.679362,0.0016,0.0473
2017-09-13 11:38:00-07:00,286.12748200000004,296.20903979999997,420.5065828,413.2501112000001,296.7590562,288.1087924,39.04,996.4799999999999,26.903999999999996,339.82287099999996,74.6897792,0.0015,0.0478
2017-09-13 11:39:00-07:00,286.80250270000005,296.5465498,419.84718780000003,412.55634019999997,289.4182073999999,287.43377179999993,39.089999999999996,996.4099999999999,27.009000000000004,339.8728722,74.73978060000003,0.0014,0.0478
2017-09-13 11:40:00-07:00,286.7431256,297.1090672,419.0940398000001,412.70946990000004,280.72106700000006,280.67419069999994,39.230000000000004,996.45,26.857999999999997,339.9697496999999,74.77728180000001,0.0015,0.0471
2017-09-13 11:41:00-07:00,286.40561540000004,296.01215859999996,421.065975,412.8407239,285.23682979999995,287.5306496,39.269999999999996,996.3899999999998,26.723000000000003,340.03537679999994,74.79290730000001,0.0017,0.0461
2017-09-13 11:42:00-07:00,286.48686799999996,296.5996764,420.4128299,412.65321800000004,286.2306102,285.0493239,39.46,996.43,26.564,340.1010039,74.83040850000002,0.0017,0.047
2017-09-13 11:43:00-07:00,285.536839,296.7403059,418.10338470000005,412.09070089999994,284.3930538999999,286.3899899,39.48,996.43,26.034,340.1916318,74.85540930000002,0.0016,0.0479
2017-09-13 11:44:00-07:00,285.73372000000006,295.96215700000005,420.0221930999999,412.55009,287.46814789999996,292.46205019999996,39.36,996.4100000000001,26.15,340.23225809999997,74.88978540000002,0.0017,0.0478
2017-09-13 11:45:00-07:00,287.25564130000004,296.83405860000005,420.4190802,412.25008099999997,292.8339368,284.7461899,39.5,996.39,26.133999999999997,340.30101030000003,74.91166110000002,0.0019,0.047700000000000006
2017-09-13 11:46:00-07:00,286.7493759,296.8653096,421.3222328,412.15945329999994,284.227424,285.0555741,39.63,996.3899999999998,25.962000000000007,340.38538800000003,74.91166110000002,0.0018,0.0483
2017-09-13 11:47:00-07:00,287.1556383,296.5809258,420.6440869,412.63759279999994,279.9616688,283.72740880000003,39.89,996.39,25.96,340.4885163,74.93041170000001,0.0017,0.0492
2017-09-13 11:48:00-07:00,287.6525284,297.50595430000004,422.6691487,412.8157233,282.58362380000005,287.3462689,40.02,996.43,25.814,340.57601850000003,74.96478780000001,0.0015,0.0487
2017-09-13 11:49:00-07:00,286.5556199,296.7528062,418.08150880000005,412.4750879,282.9148838,288.7931885,40.17,996.39,25.548,340.66977110000005,75.03666510000001,0.0014,0.0483
2017-09-13 11:50:00-07:00,286.62124700000004,296.4934233,419.8159368,412.8313486,286.19310889999997,292.5651784,40.14000000000001,996.3799999999998,25.487000000000002,340.760399,75.03354,0.0014,0.0479
2017-09-13 11:51:00-07:00,286.5868709,296.2746664,419.40967440000003,411.7906916999999,282.57737370000007,286.9712575,40.220000000000006,996.3799999999999,25.601999999999997,340.82915119999996,75.0710412,0.0014,0.0483
2017-09-13 11:52:00-07:00,286.28373669999996,295.1496323,425.89737230000003,411.97819760000004,289.7025909,296.31841799999995,40.190000000000005,996.3499999999998,25.773000000000003,340.89165319999995,75.08354160000002,0.0013,0.0488
2017-09-13 11:53:00-07:00,286.8743797,295.9902827,421.1097262,412.02194899999995,277.11158190000003,285.23995479999996,40.46,996.39,25.528,340.9666555999999,75.1085424,0.0015,0.047700000000000006
2017-09-13 11:54:00-07:00,286.9212561,296.5215491,421.0315987999999,411.68131349999993,286.9181310999999,290.80887459999997,40.41,996.3399999999999,25.342999999999996,341.05103330000003,75.158544,0.0019,0.0466
2017-09-13 11:55:00-07:00,287.3150182,296.6903044,422.86290469999994,412.1782036999999,281.78359919999997,287.9056611,40.510000000000005,996.3299999999999,25.184999999999995,341.11978550000003,75.1554189,0.0021000000000000003,0.046700000000000005
