datetime,no2-A,no2-W,o3-A,o3-W,co-A,co-W,temperature,pressure,humidity,pt,nc,epa-o3,epa-no2,epa-temperature
2017-09-12 11:00:00-07:00,296.49654830000003,296.01215870000004,426.57551789999997,418.4408947,353.49828790000004,292.8370617,33.44,990.0099999999999,41.807,335.98525320000005,52.107840199999984,0.054000000000000006,0.006,79.7
2017-09-12 11:01:00-07:00,296.30591760000004,294.83399760000003,428.1536912,417.39086280000004,350.0075562,289.6432142,32.89,989.9800000000001,42.433,335.7852474,51.91720929999999,0.054000000000000006,0.006,80.8
2017-09-12 11:02:00-07:00,297.04969029999995,294.2777306,427.08178339999995,416.7564684999999,344.1355022,283.8867885000001,32.459999999999994,989.9200000000001,43.17399999999999,335.56024060000004,51.6015747,0.054000000000000006,0.006,81.5
2017-09-12 11:03:00-07:00,297.9184668,294.849623,427.4005432,417.3189855999999,335.6758691,276.64594270000003,32.269999999999996,989.9399999999999,43.684999999999995,335.416486,51.15156089999999,0.055,0.006,81.4
2017-09-12 11:04:00-07:00,298.4872341000001,295.6996489,427.25991379999994,417.05022710000003,339.84162119999996,279.2710227,32.199999999999996,989.8899999999998,44.049,335.26023100000003,50.6109195,0.054000000000000006,0.006,81.3
2017-09-12 11:05:00-07:00,298.2497268,295.14963240000003,428.7099582000001,417.3283607,338.75721300000004,278.6772546,32.15,989.9,44.178999999999995,335.10397689999996,50.095278900000004,0.055,0.005,81.1
2017-09-12 11:06:00-07:00,298.8028688,295.1933836,431.6819238,416.0376966,338.7728385,278.02098449999994,31.880000000000006,989.9099999999999,44.55499999999999,334.91647099999994,49.5796381,0.055,0.005,80.9
2017-09-12 11:07:00-07:00,300.0560319,295.18400819999994,430.5600147,416.5252114,336.4008912,273.1739616,31.68,989.93,45.043,334.7102144,48.926493199999996,0.054000000000000006,0.005,81.5
2017-09-12 11:08:00-07:00,299.57476740000004,294.8652485,429.8787439000001,416.50333570000004,332.9726615000001,269.0300852,31.54,989.8499999999998,45.232000000000006,334.57583510000006,48.38897670000001,0.055999999999999994,0.005,80.8
2017-09-12 11:09:00-07:00,300.05290679999996,294.94962610000005,430.6350171,416.70021670000006,334.3508285,268.6456985,31.5,989.8799999999999,45.383,334.4977078999999,47.82958450000001,0.057999999999999996,0.005,80.5
2017-09-12 11:10:00-07:00,300.2216619,294.94337590000004,431.01940369999994,416.63146459999996,337.05403620000004,268.3863155,31.390000000000004,989.9,45.515,334.37895480000003,47.41707219999999,0.057999999999999996,0.005,80.6
2017-09-12 11:11:00-07:00,300.3997924,294.90587480000005,435.06640209999995,416.64709009999996,344.4323862,274.13336590000006,31.290000000000003,989.86,45.94500000000001,334.2226998,46.8389293,0.055999999999999994,0.004,80.5
2017-09-12 11:12:00-07:00,300.6466749,294.25898010000003,433.0757163,417.4877407,335.38836009999994,264.4893216,31.290000000000003,989.8699999999999,46.154999999999994,334.1258217,46.11390719999999,0.057,0.004,80.9
2017-09-12 11:13:00-07:00,301.137315,295.78715159999996,431.3912901,417.3533616000001,337.7728078,259.67667479999994,31.46,989.89,46.11,334.10082090000003,45.56076540000001,0.057,0.004,80.6
2017-09-12 11:14:00-07:00,301.68733180000004,296.2402906,433.55073089999996,418.23776359999994,344.68864420000006,262.639265,31.6,989.9,46.0,334.0664448,45.1076264,0.053,0.005,80.3
2017-09-12 11:15:00-07:00,302.0060914,296.14966280000004,434.88202160000003,418.5127721,339.73224289999996,264.28931550000004,31.609999999999996,989.85,45.978,334.0570695,44.71386459999999,0.049,0.005,80.3
2017-09-12 11:16:00-07:00,301.4560746,295.6808985,434.3257546,418.37214270000004,339.1728506,264.3580675,31.6,989.8499999999998,45.787,334.03831890000004,44.4576066,0.051,0.005,80.0
2017-09-12 11:17:00-07:00,301.7435835,296.12466200000006,435.43203840000007,418.30964069999993,340.3010102,265.4893522,31.51,989.8399999999999,45.730000000000004,333.9883173,44.291976399999996,0.054000000000000006,0.005,79.6
2017-09-12 11:18:00-07:00,300.14978489999993,295.6308968,435.36016119999994,418.06588339999996,340.8666525,266.29250160000004,31.43,989.8399999999998,45.80800000000001,333.96331649999996,44.066970100000006,0.055,0.005,79.4
2017-09-12 11:19:00-07:00,299.7935238,294.6121157,436.27581389999995,417.19710670000006,347.26997289999997,271.1426496,31.3,989.9,46.214999999999996,333.86643840000005,43.52007820000001,0.055999999999999994,0.005,79.4
2017-09-12 11:20:00-07:00,301.0810632,295.1152563,436.4914457,417.1814816,343.2229741,269.8769860000001,31.209999999999997,989.89,46.544000000000004,333.74456039999995,42.7450544,0.054000000000000006,0.005,80.0
2017-09-12 11:21:00-07:00,301.4810755,295.25276030000003,436.1914366,417.96275510000004,331.4038635,261.5204809,31.18,989.8400000000001,46.60300000000001,333.62893180000003,42.0512833,0.055,0.004,80.6
2017-09-12 11:22:00-07:00,302.19984750000003,296.1434125,433.4976043,417.62836989999994,325.62868749999996,255.96406150000007,31.250000000000007,989.85,46.80200000000001,333.6883087,41.23250840000001,0.054000000000000006,0.004,80.6
2017-09-12 11:23:00-07:00,301.9373396,295.99653309999997,435.31953489999995,419.2627947,332.3507675,257.84224370000004,31.439999999999998,989.8400000000001,46.475,333.6945589,40.8043702,0.054000000000000006,0.004,80.4
2017-09-12 11:24:00-07:00,302.6654866,297.2778221,435.4476638,418.6502761,337.73218180000003,263.5049164,31.5,989.7800000000001,45.992000000000004,333.6601827999999,40.59186390000001,0.055,0.004,80.4
